occurrence_id,repository,path,role,dialect,parent,field_or_range,access,occurrence_count,aliases,policy,cii_projection,loss_risk
O-011,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,FROM_X|FROM_Y|FROM_Z|TO_X|TO_Y|TO_Z,READ,6,,all-or-nothing seed,COORDS,partial seed ignored
O-012,reallaksh19/3D_Converters,tabs/model-converters/converters/component-topology/topology-inputxml-writer.js,producer,D-004,PIPINGELEMENT,ID|SOURCE_TYPE|SOURCE_ENTITY_IDS|CANONICAL_EDGE_ID|TOPOLOGY_OPERATION,WRITE,5,,extension namespace required,,ignored unqualified
O-013,reallaksh19/3D_Converters,tabs/model-converters/converters/component-topology/topology-inputxml-writer.js,producer,D-004,PIPINGELEMENT,FROM_GLOBAL_X/Y/Z|TO_GLOBAL_X/Y/Z|GLOBAL_COORD_BASIS_NODE,WRITE,7,,lineage/derived coordinates,,CII writer ignores
O-014,reallaksh19/3D_Converters,tabs/model-converters/converters/component-topology/topology-inputxml-writer.js,producer,D-004,PIPINGELEMENT,NAME|MATERIAL_NAME|MODULUS|POISSONS|PIPE_DENSITY,WRITE,5,,mixed writer support,partial projection,some ignored
O-015,reallaksh19/3D_Converters,converters/inputxml-field-adapter.js,intake adapter,all,PIPINGELEMENT,PRESSURE_C1..C9 aliases,NORMALIZE,9,PRESSURE1..9,rename only if canonical absent,,mixed docs unresolved
O-016,reallaksh19/3D_Converters,converters/inputxml-field-adapter.js,intake adapter,all,PIPINGELEMENT,TEMP_EXP_C1..C9 aliases,NORMALIZE,9,TEMP_EXPCn|TEMPEXPCn,document-wide rename,,mixed docs unresolved
O-017,reallaksh19/3D_Converters,converters/inputxml-field-adapter.js,intake adapter,all,PIPINGELEMENT,WALL_THICK|INSUL_THICK|CORR_ALLOW|INSUL_DENSITY|FLUID_DENSITY|HYDRO_PRESSURE|MATERIAL_NUM|LINE,NORMALIZE,8,multiple variants,text normalization,,collision risk
O-018,reallaksh19/3D_Converters,converters/inputxml-field-adapter.js,intake adapter,all,RESTRAINT,NUM,NORMALIZE,1,,slots 1..6,RESTRANT,overflow removed
O-019,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,BEND,RADIUS|TYPE|ANGLE1|NODE1|ANGLE2|NODE2|ANGLE3|NODE3|NUM_MITER|FITTINGTHICKNESS|KFACTOR,READ,11,,conditional,BEND,missing geometry defaults
O-020,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,RIGID,WEIGHT,READ,1,,default 0,RIGID,
O-021,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,RIGID,TYPE,NOT_READ,1,,,,lost
O-022,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,RESTRAINT,NUM|NODE|TYPE|STIFFNESS|GAP|FRIC_COEF|MU|CNODE|XCOSINE|YCOSINE|ZCOSINE|TAG|GUID,READ,13,MU,0..6,RESTRANT,invalid NUM dropped
O-023,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,SIF,NODE,READ,1,,,SIF_TEES,
O-024,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,SIF,TYPE|SIF1|SIF2,NOT_READ,3,,,SIF_TEES,lost
O-025,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,HANGER,NODE|STIFFNESS|LOAD_VAR|OPERATING_LOAD|RIGID_SUP|AVAIL_SPACE|COLD_LOAD|HOT_LOAD|MAX_TRAVEL|HARDWARE_WEIGHT|CONST_EFF_LOAD|MULTI_LC|FREEANCHOR1|FREEANCHOR2|DOFTYPE1|NUM_HGR|HGR_TABLE|SHORT_RANGE|CNODE|TAG|GUID,READ,21,,NODE required,HANGERS,producer coverage sparse
O-026,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,CAESARII,WRC_297_NOZZLE|API650_NOZZLE|PD5500_NOZZLE|CUSTOM_NOZZLE,GENERIC_READ,4,,family catalog unresolved,EQUIPMNT,slot meanings unknown
O-027,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority,D-001,PIPINGELEMENT,ALLOWABLESTRESS|CASE,DETECT_ONLY,2,,meaningful values active,not emitted,critical loss
O-028,reallaksh19/3D_Converters,converters/scripts/inputxml_to_cii2019.py,CII authority gap,D-001,model/element,DISPLACEMENTS|FORCESMOMENTS|UNIFORM|WIND|OFFSETS|EXPANSION_JOINT|REDUCER|FLANGES,NOT_PARSED,8,,active must block,configured CII sections,silent ignore risk
O-029,reallaksh19/XML_Compare_Utilities,xml-compare/CategorizedInputXmlConverter.js,review producer,D-009,Element,NameBlock|RouteGeometryBlock|SectionDimensionBlock|DerivedBlock|BendBlock|RigidBlock|FlangeBlock|MiscBlock|NodesBlock|OriginalElement,WRITE/READ,10,,review only,,evidence divergence
O-030,reallaksh19/XML_Compare_Utilities,xml-compare/CategorizedInputXmlConverter.js,review producer,D-009,Line/LineBlocks,LineBlock|ProcessBlock|TemperatureBlock|MaterialBlock|AllowableStressBlock,WRITE/READ,5,,review only,,evidence divergence
O-031,reallaksh19/XML_Compare_Utilities,xml-compare/CategorizedInputXmlConverter.js,review producer,D-009,Node,DerivedCoordinateBlock|RestraintsBlock|DisplacementsBlock|ForcesMomentsBlock|SifBlock,WRITE/READ,5,,review only,,synthetic coordinates
O-032,reallaksh19/3D_Converters,tabs/model-converters/xml-cii-node-to-inputxml-core.js,source adapter,D-010,Branch,Branchname|LineNo|Pressure1..9|Temperature1..9|HydroPressure|MaterialNumber|InsulationDensity|FluidDensity,READ,24,,source dialect,PIPINGELEMENT context,defaults/inheritance
O-033,reallaksh19/3D_Converters,tabs/model-converters/xml-cii-node-to-inputxml-core.js,source adapter,D-010,Node,NodeNumber|NodeName|Endpoint|Rigid|ComponentType|ConnectionType|ComponentRefNo|Position|Weight|OutsideDiameter|WallThickness|CorrosionAllowance|InsulationThickness|BendRadius|SIF|PipingClass|Rating|BoreMm|MaterialName|MaterialCode|DTXR_POS|DTXR_PS|Restraint|CustomRestraint,READ,24,,route requires number+position,elements/auxiliaries,unrouted rows excluded
O-034,reallaksh19/3D_Converters,tabs/xml-cii-2019-standalone/xml-cii-inputxml-enrichment.js,mutator,D-008,PIPINGELEMENT,LINE_ID|FROM_NAME|TO_NAME|DTXR_POS|DTXR_PS|ComponentType|PipingClass|Rating|Position|Point_properties_basis,WRITE,10,,sideload/derived,,unmatched warned
O-035,reallaksh19/3D_Converters,tabs/xml-cii-2019-standalone/xml-cii-inputxml-enrichment.js,mutator,D-008,PIPINGELEMENT,DIAMETER|WALL_THICK|INSUL_THICK|CORR_ALLOW|MATERIAL_NUM|FLUID_DENSITY|INSUL_DENSITY|HYDRO_PRESSURE|TEMP_EXP_C1..C9|PRESSURE_C1..C9,NORMALIZE/INHERIT,26,PRESSURE1..9,line carry-forward,ELEMENTS,compatibility inheritance
O-036,reallaksh19/3D_Converters,tabs/xml-cii-2019-standalone/xml-cii-inputxml-enrichment.js,mutator,D-008,RESTRAINT,NUM|NODE|TYPE|STIFFNESS|GAP|FRIC_COEF|CNODE|XCOSINE|YCOSINE|ZCOSINE|TAG|GUID,WRITE/NORMALIZE,12,,6 slots,RESTRANT,overflow removed
O-037,reallaksh19/3D_Converters,converters/scripts/pdf_to_inputxml.py,PDF producer,D-005,PipeState,diameter|wall|insulation|corrosion|temp1|pressure1|hydro|modulus|hot_mod1..9|poisson|pipe_density|insul_density|fluid_density|material_num|material_name,PARSE/WRITE,23,,state carry-forward,PIPINGELEMENT,regex coverage
O-038,reallaksh19/3D_Converters,converters/scripts/pdf_to_inputxml.py,PDF producer,D-005,ParsedElement,from_node|to_node|delta_x/y/z|axis_present|name|rigid_weight|rigid_type|bend|restraints|sifs,PARSE/WRITE,13,,report-derived,elements/auxiliaries,unparsed report fields
O-039,reallaksh19/XML_Compare_Utilities,tabs/navis-tag-isonote/navis-tag-bore-od-master.js,upstream inference,managed-stage,BoreToOdResolution,boreToOdLookupName|rawBore|boreNominalMm|odMm,READ/WRITE,4,DN/NPS aliases,built-in/custom deterministic profile,DIAMETER if propagated,propagation unproven
O-040,reallaksh19/3D_Converters,converters/scripts/xml_to_inputxml_debug.py,diagnostic producer,D-007,Point evidence,ComponentType|DTXR_POS|DTXR_PS|TEEDESC_POS|TEEDESC|PipingClass|Rating|Position,READ/WRITE,8,,diagnostic only,,not writer-consumed
